Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;15:20:57;524;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;FcGanhoT;10.154;10.113;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;DelayLad;240;450;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;DelayLad;460;425;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;AlF3Dia;15;0;--------;;;
20/out;15:20:57;524;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:27:11;525;CfgParCuba;nildo;VSetPoin;4.23;4.21;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;VSetPoin;4.21;4.24;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;RuidoRFr;0.016;0.150;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;RuidoRFo;0.036;0.250;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;RuidoRFo;0.041;0.300;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;QuantAlF;1140;1000;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;QuantAlF;1200;1000;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NumTabOp;9;6;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncRuido;0.00;200.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncRuido;20.00;250.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncQuebI;0;50;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HoraRefC;18:00;14:00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;FcOffTen;-106.820;-122.080;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;FcGanhoT;10.154;10.113;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;DelayLad;220;450;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;DelayLad;480;425;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;AlF3Dia;20;0;--------;;;
20/out;15:20:57;525;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;11:30:19;526;CfgParCuba;nildo;VSetPoin;4.28;4.25;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;RuidoRFr;0.016;0.150;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;RuidoRFo;0.036;0.250;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;RuidoRFo;0.041;0.300;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;QuantAlF;1510;1000;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;QuantAlF;1170;1000;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncRuido;0.00;200.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncRuido;20.00;250.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncQuebI;0;50;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HoraRefC;18:00;14:00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;FcOffTen;-152.600;-122.080;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;FcGanhoT;10.103;10.113;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;DelayLad;200;450;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;DelayLad;500;425;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;AlF3Dia;20;0;--------;;;
20/out;15:20:57;526;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;VSetPoin;4.22;4.24;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;UsaMaxEa;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TMovCima;2;3;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TIntAlF3;21:00;08:00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TIncCorr;10;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;TEfeitoD;00:30;00:40;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;RuidoRFr;0.000;0.100;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;RuidoRFr;0.016;0.150;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;RuidoRFo;0.036;0.250;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;RuidoRFo;0.041;0.300;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;QuantAlF;840;1000;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;QuantAlF;1530;1000;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NumSiloA;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;NCCOscil;5;3;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;MinNCicC;10;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;MaxQPrev;30;10;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;MaxInter;65000;7200;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;MaxDelta;0;10;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;LimSupQP;1;960;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;LimQPrev;100;60;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IntMinQQ;120;150;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IntervEa;4;6;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncRuido;-40.00;100.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncRuido;0.00;200.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncRuido;20.00;250.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncQuebI;0;50;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HoraRefC;18:00;14:00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HoraIniA;01:00;06:00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabMovIn;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabCamSi;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabCalcH;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;FcGanhoT;10.116;10.113;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;EaPrevDe;0.680;0.650;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;EaPrevDe;0.550;0.500;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;EaAtraso;28800;4800;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;DerivIni;5.000;0.550;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;DelayLad;180;450;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;DelayLad;520;425;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;CAFimUnd;9.00;11.00;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;BitDuplo;17;24;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;AtivaBit;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;AlimAuto;1;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;AlF3Dia;20;0;--------;;;
20/out;15:20:57;527;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;VSetPoin;4.26;4.24;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;TMovBaix;4;5;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;TLibAlar;35;40;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;RuidoRFo;0.036;0.250;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;QuantAlF;1590;1000;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;NumJanRR;6;3;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;IncQuebI;0;50;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;IncCorrI;50;0;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;Habilita;1;0;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;HabCalcC;1;0;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;FcOffTen;-137.340;-122.080;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;EstabCor;00:00;00:30;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;DerivIni;-5.000;-2.000;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;DelayLad;160;450;--------;;;
20/out;15:20:57;528;CfgParCuba;bolivia;AlarmeDB;00:15;00:30;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;VSetPoin;4.22;4.24;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;TipoIncQ;1;2;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;TEfeitoM;480;1800;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;RuidoRFr;0.024;0.200;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;NumSiloA;2;0;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;MassaBan;6000.0;5500.0;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;IncRuido;-20.00;150.00;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;IncQuebI;0;50;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;HoraRefC;18:00;14:00;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;HabCalcD;0;1;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;HabAEKPF;1;0;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;GrupoMov;2;1;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;DifResFi;0.23;0.30;--------;;;
20/out;15:20:57;529;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;VSetPoin;4.25;4.24;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;TLibMovU;50;60;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;TIniAlim;90;30;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;TIncQueb;30;90;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;TempMovI;2;5;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;TEfeitoM;300;900;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;RuidoRFr;0.016;0.150;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;RuidoRFo;0.041;0.300;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;QuantAlF;1300;1000;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;NumTabOp;9;6;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;NHorRefQ;120;150;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;NCRegOsc;6;3;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;NCicIniE;16;8;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;LimInfQP;100;120;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;IncRuido;40.00;300.00;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;IncQPrev;100.00;0.00;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;HabLogMo;0;1;--------;;;
20/out;15:20:57;530;CfgParCuba;bolivia;HabIncQP;0;1;--------;;;
