Relatorio;de;Eventos;Historicos;de;20/10/2020;-;00:00;ate;20/10/2020;-;15:27
20/out;15:20:57;513;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;DelayLad;750;450;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;DelayLad;125;425;--------;;;
20/out;15:20:57;513;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;NumTabOp;1;6;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;NumCicRe;8;7;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;FcOffTen;-137.340;-122.080;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;FcGanhoT;10.144;10.113;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;DerivIni;0.550;0.550;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;DelayLad;775;450;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;DelayLad;100;425;--------;;;
20/out;15:20:57;514;CfgParCuba;bolivia;BitSiloA;24;23;--------;;;
20/out;11:39:03;515;CfgParCuba;nildo;VSetPoin;4.25;4.23;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;VSetPoin;4.23;4.24;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;TempMaxI;965;970;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;NumCicRe;9;7;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;HoraRefC;16:00;14:00;--------;;;
20/out;15:20:57;515;CfgParCuba;bolivia;HabIncRL;0;1;--------;;;
